schema_version,benchmark,problem,arm,language,source_sha256,input_sha256,execution_id,metric,value,value_relation,status,not_measured_reason,adapter,adapter_version,runtime,observation_convention,repetitions,source_profile
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,short-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,bd5d6711effad64110886582a231b5157fcf8e6429ea6b0b92d80acebc322d67,sha256:24af39daa1be0c93108e71fff0eb0e44a57de420767ea81fa764d25a60c79e38,Omega_CC,16,=,MEASURED,,cpp-preprocessed-control-flow-v1,cpp-preprocessed-control-flow-v1,Clang 18.1.8 Linux amd64 container,,1,experiments/lcb_hard_v1_cpp/measurements/program-complexity/short-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,short-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,bd5d6711effad64110886582a231b5157fcf8e6429ea6b0b92d80acebc322d67,sha256:24af39daa1be0c93108e71fff0eb0e44a57de420767ea81fa764d25a60c79e38,Omega_hat_NativeTrace,2655,=,MEASURED,,clang-18.1.8-coverage-state-load-v1,clang-18.1.8-coverage-state-load-v1,Clang 18.1.8 Linux amd64 container,clang-18.1.8-coverage-state-load-v1,3,experiments/lcb_hard_v1_cpp/measurements/program-complexity/short-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,short-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,bd5d6711effad64110886582a231b5157fcf8e6429ea6b0b92d80acebc322d67,sha256:24af39daa1be0c93108e71fff0eb0e44a57de420767ea81fa764d25a60c79e38,Omega_hat_StateSize,202,=,MEASURED,,clang-18.1.8-coverage-state-load-v1,clang-18.1.8-coverage-state-load-v1,Clang 18.1.8 Linux amd64 container,clang-18.1.8-coverage-state-load-v1,3,experiments/lcb_hard_v1_cpp/measurements/program-complexity/short-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,short-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,bd5d6711effad64110886582a231b5157fcf8e6429ea6b0b92d80acebc322d67,sha256:24af39daa1be0c93108e71fff0eb0e44a57de420767ea81fa764d25a60c79e38,Omega_hat_StateLoad,375461,=,MEASURED,,clang-18.1.8-coverage-state-load-v1,clang-18.1.8-coverage-state-load-v1,Clang 18.1.8 Linux amd64 container,clang-18.1.8-coverage-state-load-v1,3,experiments/lcb_hard_v1_cpp/measurements/program-complexity/short-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,long-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,530378a133b206656a4a955dc386cf1495b96624955c30a076c6989455eadc2f,sha256:23339909deda150459b38423c475ed4ef2ff72f074337c41b5c734706e1061cc,Omega_CC,16,=,MEASURED,,cpp-preprocessed-control-flow-v1,cpp-preprocessed-control-flow-v1,Clang 18.1.8 Linux amd64 container,,1,experiments/lcb_hard_v1_cpp/measurements/program-complexity/long-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,long-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,530378a133b206656a4a955dc386cf1495b96624955c30a076c6989455eadc2f,sha256:23339909deda150459b38423c475ed4ef2ff72f074337c41b5c734706e1061cc,Omega_hat_NativeTrace,30701,=,MEASURED,,clang-18.1.8-coverage-state-load-v1,clang-18.1.8-coverage-state-load-v1,Clang 18.1.8 Linux amd64 container,clang-18.1.8-coverage-state-load-v1,3,experiments/lcb_hard_v1_cpp/measurements/program-complexity/long-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,long-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,530378a133b206656a4a955dc386cf1495b96624955c30a076c6989455eadc2f,sha256:23339909deda150459b38423c475ed4ef2ff72f074337c41b5c734706e1061cc,Omega_hat_StateSize,2132,=,MEASURED,,clang-18.1.8-coverage-state-load-v1,clang-18.1.8-coverage-state-load-v1,Clang 18.1.8 Linux amd64 container,clang-18.1.8-coverage-state-load-v1,3,experiments/lcb_hard_v1_cpp/measurements/program-complexity/long-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,long-trace-final,cpp,c2b6fe623ba3b8b051bbda878339965e844af9c568582237cda63700b1f5ffc5,530378a133b206656a4a955dc386cf1495b96624955c30a076c6989455eadc2f,sha256:23339909deda150459b38423c475ed4ef2ff72f074337c41b5c734706e1061cc,Omega_hat_StateLoad,68792580,=,MEASURED,,clang-18.1.8-coverage-state-load-v1,clang-18.1.8-coverage-state-load-v1,Clang 18.1.8 Linux amd64 container,clang-18.1.8-coverage-state-load-v1,3,experiments/lcb_hard_v1_cpp/measurements/program-complexity/long-trace-final/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,inside-loop-state,cpp,5bb0cdfa40149e1647dd68ae2f5dcd8e9c522899adc3b1ae916553de168dbf76,530378a133b206656a4a955dc386cf1495b96624955c30a076c6989455eadc2f,sha256:1ccae5ace4ad3d095df0ecd9064339d21785da7e3b3331ac3c1abb3a0fe9e57d,Omega_CC,30,=,MEASURED,,cpp-preprocessed-control-flow-v1,cpp-preprocessed-control-flow-v1,Clang 18.1.8 Linux amd64 container,,1,experiments/lcb_hard_v1_cpp/measurements/program-complexity/inside-loop-state/cpp/profiles.jsonl
program-complexity-normalized-v2,lcb_hard_v1_cpp,atcoder/abc338_f,inside-loop-state,cpp,5bb0cdfa40149e1647dd68ae2f5dcd8e9c522899adc3b1ae916553de168dbf76,530378a133b206656a4a955dc386cf1495b96624955c30a076c6989455eadc2f,sha256:1ccae5ace4ad3d095df0ecd9064339d21785da7e3b3331ac3c1abb3a0fe9e57d,Omega_hat_NativeTrace,8910,=,MEASURED,,clang-18.1.8-coverage-state-load-v1,clang-18.1.8-coverage-state-load-v1,Clang 18.1.8 Linux amd64 container,clang-18.1.8-coverage-state-load-v1,3,experiments/lcb_hard_v1_cpp/measurements/program-complexity/inside-loop-state/cpp/profiles.jsonl
