1540
1 11 21
1 11 22
1 11 23
1 11 24
1 11 25
1 11 26
1 11 27
1 11 28
1 11 29
1 11 30
1 11 31
1 11 32
1 11 33
1 11 34
1 11 35
1 11 36
1 11 37
1 11 38
1 11 39
1 11 40
1 12 22
1 12 23
1 12 24
1 12 25
1 12 26
1 12 27
1 12 28
1 12 29
1 12 30
1 12 31
1 12 32
1 12 33
1 12 34
1 12 35
1 12 36
1 12 37
1 12 38
1 12 39
1 12 40
1 13 23
1 13 24
1 13 25
1 13 26
1 13 27
1 13 28
1 13 29
1 13 30
1 13 31
1 13 32
1 13 33
1 13 34
1 13 35
1 13 36
1 13 37
1 13 38
1 13 39
1 13 40
1 14 24
1 14 25
1 14 26
1 14 27
1 14 28
1 14 29
1 14 30
1 14 31
1 14 32
1 14 33
1 14 34
1 14 35
1 14 36
1 14 37
1 14 38
1 14 39
1 14 40
1 15 25
1 15 26
1 15 27
1 15 28
1 15 29
1 15 30
1 15 31
1 15 32
1 15 33
1 15 34
1 15 35
1 15 36
1 15 37
1 15 38
1 15 39
1 15 40
1 16 26
1 16 27
1 16 28
1 16 29
1 16 30
1 16 31
1 16 32
1 16 33
1 16 34
1 16 35
1 16 36
1 16 37
1 16 38
1 16 39
1 16 40
1 17 27
1 17 28
1 17 29
1 17 30
1 17 31
1 17 32
1 17 33
1 17 34
1 17 35
1 17 36
1 17 37
1 17 38
1 17 39
1 17 40
1 18 28
1 18 29
1 18 30
1 18 31
1 18 32
1 18 33
1 18 34
1 18 35
1 18 36
1 18 37
1 18 38
1 18 39
1 18 40
1 19 29
1 19 30
1 19 31
1 19 32
1 19 33
1 19 34
1 19 35
1 19 36
1 19 37
1 19 38
1 19 39
1 19 40
1 20 30
1 20 31
1 20 32
1 20 33
1 20 34
1 20 35
1 20 36
1 20 37
1 20 38
1 20 39
1 20 40
1 21 31
1 21 32
1 21 33
1 21 34
1 21 35
1 21 36
1 21 37
1 21 38
1 21 39
1 21 40
1 22 32
1 22 33
1 22 34
1 22 35
1 22 36
1 22 37
1 22 38
1 22 39
1 22 40
1 23 33
1 23 34
1 23 35
1 23 36
1 23 37
1 23 38
1 23 39
1 23 40
1 24 34
1 24 35
1 24 36
1 24 37
1 24 38
1 24 39
1 24 40
1 25 35
1 25 36
1 25 37
1 25 38
1 25 39
1 25 40
1 26 36
1 26 37
1 26 38
1 26 39
1 26 40
1 27 37
1 27 38
1 27 39
1 27 40
1 28 38
1 28 39
1 28 40
1 29 39
1 29 40
1 30 40
2 12 22
2 12 23
2 12 24
2 12 25
2 12 26
2 12 27
2 12 28
2 12 29
2 12 30
2 12 31
2 12 32
2 12 33
2 12 34
2 12 35
2 12 36
2 12 37
2 12 38
2 12 39
2 12 40
2 13 23
2 13 24
2 13 25
2 13 26
2 13 27
2 13 28
2 13 29
2 13 30
2 13 31
2 13 32
2 13 33
2 13 34
2 13 35
2 13 36
2 13 37
2 13 38
2 13 39
2 13 40
2 14 24
2 14 25
2 14 26
2 14 27
2 14 28
2 14 29
2 14 30
2 14 31
2 14 32
2 14 33
2 14 34
2 14 35
2 14 36
2 14 37
2 14 38
2 14 39
2 14 40
2 15 25
2 15 26
2 15 27
2 15 28
2 15 29
2 15 30
2 15 31
2 15 32
2 15 33
2 15 34
2 15 35
2 15 36
2 15 37
2 15 38
2 15 39
2 15 40
2 16 26
2 16 27
2 16 28
2 16 29
2 16 30
2 16 31
2 16 32
2 16 33
2 16 34
2 16 35
2 16 36
2 16 37
2 16 38
2 16 39
2 16 40
2 17 27
2 17 28
2 17 29
2 17 30
2 17 31
2 17 32
2 17 33
2 17 34
2 17 35
2 17 36
2 17 37
2 17 38
2 17 39
2 17 40
2 18 28
2 18 29
2 18 30
2 18 31
2 18 32
2 18 33
2 18 34
2 18 35
2 18 36
2 18 37
2 18 38
2 18 39
2 18 40
2 19 29
2 19 30
2 19 31
2 19 32
2 19 33
2 19 34
2 19 35
2 19 36
2 19 37
2 19 38
2 19 39
2 19 40
2 20 30
2 20 31
2 20 32
2 20 33
2 20 34
2 20 35
2 20 36
2 20 37
2 20 38
2 20 39
2 20 40
2 21 31
2 21 32
2 21 33
2 21 34
2 21 35
2 21 36
2 21 37
2 21 38
2 21 39
2 21 40
2 22 32
2 22 33
2 22 34
2 22 35
2 22 36
2 22 37
2 22 38
2 22 39
2 22 40
2 23 33
2 23 34
2 23 35
2 23 36
2 23 37
2 23 38
2 23 39
2 23 40
2 24 34
2 24 35
2 24 36
2 24 37
2 24 38
2 24 39
2 24 40
2 25 35
2 25 36
2 25 37
2 25 38
2 25 39
2 25 40
2 26 36
2 26 37
2 26 38
2 26 39
2 26 40
2 27 37
2 27 38
2 27 39
2 27 40
2 28 38
2 28 39
2 28 40
2 29 39
2 29 40
2 30 40
3 13 23
3 13 24
3 13 25
3 13 26
3 13 27
3 13 28
3 13 29
3 13 30
3 13 31
3 13 32
3 13 33
3 13 34
3 13 35
3 13 36
3 13 37
3 13 38
3 13 39
3 13 40
3 14 24
3 14 25
3 14 26
3 14 27
3 14 28
3 14 29
3 14 30
3 14 31
3 14 32
3 14 33
3 14 34
3 14 35
3 14 36
3 14 37
3 14 38
3 14 39
3 14 40
3 15 25
3 15 26
3 15 27
3 15 28
3 15 29
3 15 30
3 15 31
3 15 32
3 15 33
3 15 34
3 15 35
3 15 36
3 15 37
3 15 38
3 15 39
3 15 40
3 16 26
3 16 27
3 16 28
3 16 29
3 16 30
3 16 31
3 16 32
3 16 33
3 16 34
3 16 35
3 16 36
3 16 37
3 16 38
3 16 39
3 16 40
3 17 27
3 17 28
3 17 29
3 17 30
3 17 31
3 17 32
3 17 33
3 17 34
3 17 35
3 17 36
3 17 37
3 17 38
3 17 39
3 17 40
3 18 28
3 18 29
3 18 30
3 18 31
3 18 32
3 18 33
3 18 34
3 18 35
3 18 36
3 18 37
3 18 38
3 18 39
3 18 40
3 19 29
3 19 30
3 19 31
3 19 32
3 19 33
3 19 34
3 19 35
3 19 36
3 19 37
3 19 38
3 19 39
3 19 40
3 20 30
3 20 31
3 20 32
3 20 33
3 20 34
3 20 35
3 20 36
3 20 37
3 20 38
3 20 39
3 20 40
3 21 31
3 21 32
3 21 33
3 21 34
3 21 35
3 21 36
3 21 37
3 21 38
3 21 39
3 21 40
3 22 32
3 22 33
3 22 34
3 22 35
3 22 36
3 22 37
3 22 38
3 22 39
3 22 40
3 23 33
3 23 34
3 23 35
3 23 36
3 23 37
3 23 38
3 23 39
3 23 40
3 24 34
3 24 35
3 24 36
3 24 37
3 24 38
3 24 39
3 24 40
3 25 35
3 25 36
3 25 37
3 25 38
3 25 39
3 25 40
3 26 36
3 26 37
3 26 38
3 26 39
3 26 40
3 27 37
3 27 38
3 27 39
3 27 40
3 28 38
3 28 39
3 28 40
3 29 39
3 29 40
3 30 40
4 14 24
4 14 25
4 14 26
4 14 27
4 14 28
4 14 29
4 14 30
4 14 31
4 14 32
4 14 33
4 14 34
4 14 35
4 14 36
4 14 37
4 14 38
4 14 39
4 14 40
4 15 25
4 15 26
4 15 27
4 15 28
4 15 29
4 15 30
4 15 31
4 15 32
4 15 33
4 15 34
4 15 35
4 15 36
4 15 37
4 15 38
4 15 39
4 15 40
4 16 26
4 16 27
4 16 28
4 16 29
4 16 30
4 16 31
4 16 32
4 16 33
4 16 34
4 16 35
4 16 36
4 16 37
4 16 38
4 16 39
4 16 40
4 17 27
4 17 28
4 17 29
4 17 30
4 17 31
4 17 32
4 17 33
4 17 34
4 17 35
4 17 36
4 17 37
4 17 38
4 17 39
4 17 40
4 18 28
4 18 29
4 18 30
4 18 31
4 18 32
4 18 33
4 18 34
4 18 35
4 18 36
4 18 37
4 18 38
4 18 39
4 18 40
4 19 29
4 19 30
4 19 31
4 19 32
4 19 33
4 19 34
4 19 35
4 19 36
4 19 37
4 19 38
4 19 39
4 19 40
4 20 30
4 20 31
4 20 32
4 20 33
4 20 34
4 20 35
4 20 36
4 20 37
4 20 38
4 20 39
4 20 40
4 21 31
4 21 32
4 21 33
4 21 34
4 21 35
4 21 36
4 21 37
4 21 38
4 21 39
4 21 40
4 22 32
4 22 33
4 22 34
4 22 35
4 22 36
4 22 37
4 22 38
4 22 39
4 22 40
4 23 33
4 23 34
4 23 35
4 23 36
4 23 37
4 23 38
4 23 39
4 23 40
4 24 34
4 24 35
4 24 36
4 24 37
4 24 38
4 24 39
4 24 40
4 25 35
4 25 36
4 25 37
4 25 38
4 25 39
4 25 40
4 26 36
4 26 37
4 26 38
4 26 39
4 26 40
4 27 37
4 27 38
4 27 39
4 27 40
4 28 38
4 28 39
4 28 40
4 29 39
4 29 40
4 30 40
5 15 25
5 15 26
5 15 27
5 15 28
5 15 29
5 15 30
5 15 31
5 15 32
5 15 33
5 15 34
5 15 35
5 15 36
5 15 37
5 15 38
5 15 39
5 15 40
5 16 26
5 16 27
5 16 28
5 16 29
5 16 30
5 16 31
5 16 32
5 16 33
5 16 34
5 16 35
5 16 36
5 16 37
5 16 38
5 16 39
5 16 40
5 17 27
5 17 28
5 17 29
5 17 30
5 17 31
5 17 32
5 17 33
5 17 34
5 17 35
5 17 36
5 17 37
5 17 38
5 17 39
5 17 40
5 18 28
5 18 29
5 18 30
5 18 31
5 18 32
5 18 33
5 18 34
5 18 35
